zip,med_income,bought_car,child_exp,polit_dem,polit_rep,disp_inc,bach_deg,rel_club,bar_club,food_exp,health_ins,male_pop,fem_pop,married
70805,25846,1581,1281,12160,1466,30062,1136,859,2670,38700824,16936104,13490,15465,5288
71468,36467,105,54,139,240,41130,45,18,79,1929323,936855,432,459,402
71483,32270,1085,809,2325,2403,40578,705,318,1038,20396479,10081033,5846,5116,4017
70791,64931,2756,1903,5287,6786,65160,4039,821,3624,79961986,36424583,13311,14210,10752
70801,28495,12,4,16,15,32858,12,2,11,219909,83969,36,33,5
70092,34640,626,459,2299,944,40129,342,217,631,13364831,6007024,3622,3879,2562
71473,36075,58,37,62,137,39654,27,13,35,1122329,568221,243,245,296
70040,36811,164,90,266,324,47844,144,36,110,3354241,1618870,694,698,531
71467,44858,653,499,1501,2286,49535,243,161,822,14579003,7009957,5468,2840,2712
70124,75203,2285,1536,5576,4252,82113,5473,578,4030,102510012,44258921,10408,10656,9362
