OBJECTID,spend_zips_ZCTA5CE10,spend_zips_AFFGEOID10,spend_zips_Shape_Leng,spend_zips_sourceCountry,spend_zips_ORIG_ID,spend_zips_aggregationMethod,spend_zips_populationToPolygonSizeRating,spend_zips_apportionmentConfidence,spend_zips_HasData,spend_zips_med_inc,spend_zips_bought_car,spend_zips_child_spent,spend_zips_poli_dem,spend_zips_poli_rep,spend_zips_disp_inc,spend_zips_BACHDEG_CY,spend_zips_rel_club,spend_zips_bar_spend,spend_zips_MALES_CY,spend_zips_FEMALES_CY,spend_zips_MARRIED_CY,spend_zips_food_percapita,spend_zips_health_percapita,LAzips_ZIP_CODE,LAzips_PO_NAME,LAzips_STATE,LAzips_POPULATION,LAzips_SQMI,LAzips_Shape__Area,LAzips_Shape__Length,Shape_Length,Shape_Area,Republican
67,71463,8600000US71463,238482.0125,US,67,BlockApportionment:US.BlockGroups,2.191,2.576,1,33386,864,778,2628,2165,39843,495,276,1049,6292,4563,3898,1690.995117,819.3509521,71463,Oakdale,LA,10619,271.86,0.066367362,1.584308173,238482.0122,842078970.6,
68,70570,8600000US70570,193746.2055,US,68,BlockApportionment:US.BlockGroups,2.191,2.576,1,29010,3663,2183,11591,5949,38063,2652,1139,3544,18826,20808,12292,1888.957275,879.9260254,70570,Opelousas,LA,39382,184.58,0.044938581,1.624340828,193746.205,608647618.5,
69,70578,8600000US70578,171626.9644,US,69,BlockApportionment:US.BlockGroups,2.191,2.576,1,42788,1952,1122,3818,3486,48100,948,433,1529,8567,8920,6506,2328.689697,1114.372803,70578,Rayne,LA,17920,116.36,0.028237474,1.646699633,171626.9651,395728437.1,
70,70580,8600000US70580,3835.802818,US,70,BlockApportionment:US.BlockGroups,2.191,2.576,1,37149,27,16,46,35,43234,24,4,15,95,98,79,,,,,,,,,,3835.802746,522730.495,
71,70803,8600000US70803,4378.886609,US,71,BlockApportionment:US.BlockGroups,2.191,2.576,1,16120,36,94,385,313,22817,128,40,565,680,726,151,30746.73633,9773.473633,70803,Baton Rouge,LA,19,1.23,0.000299337,0.113698306,4378.886391,804927.329,
72,70805,8600000US70805,29813.58993,US,72,BlockApportionment:US.BlockGroups,2.191,2.576,1,25846,1581,1281,12160,1466,30062,1136,859,2670,13490,15465,5288,1345.787964,588.9384766,70805,Baton Rouge,LA,28757,11.79,0.002868699,0.247325123,29813.59002,42007297.03,
73,71468,8600000US71468,203746.121,US,73,BlockApportionment:US.BlockGroups,2.191,2.576,1,36467,105,54,139,240,41130,45,18,79,432,459,402,1794.719116,871.493042,71468,Provencal,LA,1075,228.53,0.056177068,1.749148041,203746.1214,631275357.8,
74,71483,8600000US71483,332899.1872,US,74,BlockApportionment:US.BlockGroups,2.191,2.576,1,32270,1085,809,2325,2403,40578,705,318,1038,5846,5116,4017,2266.023682,1119.990356,71483,Winnfield,LA,9001,305.34,0.07540301,2.144860212,332899.1865,1338478937,
75,70791,8600000US70791,185833.026,US,75,BlockApportionment:US.BlockGroups,2.191,2.576,1,64931,2756,1903,5287,6786,65160,4039,821,3624,13311,14210,10752,2977.212891,1356.191162,70791,Zachary,LA,26858,119.12,0.029030721,1.33207035,185833.0256,434705235.1,
76,70801,8600000US70801,3575.054412,US,76,BlockApportionment:US.BlockGroups,2.191,2.576,1,28495,12,4,16,15,32858,12,2,11,36,33,5,2971.743164,1134.716187,70801,Baton Rouge,LA,74,0.09,2.09647E-05,0.020578213,3575.054428,427929.7603,
77,70092,8600000US70092,23085.1575,US,77,BlockApportionment:US.BlockGroups,2.191,2.576,1,34640,626,459,2299,944,40129,342,217,631,3622,3879,2562,1831.300537,823.1055298,70092,Violet,LA,7298,17.45,0.004222339,0.354484902,23085.15751,17045589.5,
78,71473,8600000US71473,160442.3612,US,78,BlockApportionment:US.BlockGroups,2.191,2.576,1,36075,58,37,62,137,39654,27,13,35,243,245,296,1842.904785,933.0394287,71473,Sikes,LA,609,132.21,0.032700956,1.144872849,160442.3613,472323219.4,
79,70040,8600000US70040,199260.6627,US,79,BlockApportionment:US.BlockGroups,2.191,2.576,1,36811,164,90,266,324,47844,144,36,110,694,698,531,2437.675049,1176.504395,70040,Braithwaite,LA,1376,359.27,0.086666868,11.82328409,199260.6618,248407550.7,
80,71467,8600000US71467,219912.3297,US,80,BlockApportionment:US.BlockGroups,2.191,2.576,1,44858,653,499,1501,2286,49535,243,161,822,5468,2840,2712,1721.861694,827.9151001,71467,Pollock,LA,8467,157.8,0.038818227,1.929624869,219912.3293,651243302.7,
81,70124,8600000US70124,23733.23478,US,81,BlockApportionment:US.BlockGroups,2.191,2.576,1,75203,2285,1536,5576,4252,82113,5473,578,4030,10408,10656,9362,5090.376953,2197.78125,70124,New Orleans,LA,20138,6.9,0.001671635,0.229522184,23733.23487,26719543.56,
82,71272,8600000US71272,3374.177647,US,82,BlockApportionment:US.BlockGroups,2.191,2.576,1,0,0,132,541,441,0,0,56,795,1068,844,11,,,,,,,,,,3374.17785,574276.6726,
83,71055,8600000US71055,227894.6234,US,83,BlockApportionment:US.BlockGroups,2.191,2.576,1,38189,1928,1298,5854,3398,44556,1637,581,2040,9830,10349,7290,2216.061523,1043.831787,71055,Minden,LA,20578,291.45,0.072575595,1.808778165,227894.6233,955052777,
84,70443,8600000US70443,171559.6659,US,84,BlockApportionment:US.BlockGroups,2.191,2.576,1,42871,1317,680,2018,2535,47411,739,283,922,5668,5874,4243,2382.303711,1128.973877,70443,Independence,LA,11158,82.66,0.020140977,1.237828514,171559.666,272712857.9,
85,71438,8600000US71438,149288.606,US,85,BlockApportionment:US.BlockGroups,2.191,2.576,1,41093,202,111,275,456,46519,63,37,149,897,901,776,2640.374268,1289.531128,71438,Hineston,LA,1608,73.73,0.01805706,0.94278886,149288.6057,307107032.9,
86,70003,8600000US70003,29982.29411,US,86,BlockApportionment:US.BlockGroups,2.191,2.576,1,54869,4287,2963,10353,8573,59687,6180,1230,5922,19577,20768,15768,2997.27832,1371.905273,70003,Metairie,LA,40113,7.03,0.00170212,0.220180466,29982.29358,24849731.18,
87,70005,8600000US70005,19990.57627,US,87,BlockApportionment:US.BlockGroups,2.191,2.576,1,58143,3080,1835,6406,5827,71172,4859,779,3794,12158,12659,9735,4465.373535,2002.734619,70005,Metairie,LA,25084,4.15,0.001003932,0.177677151,19990.57626,15180498.64,
88,70115,8600000US70115,17386.37219,US,88,BlockApportionment:US.BlockGroups,2.191,2.576,1,52431,3426,2280,11815,5356,65599,7636,896,6920,16804,17782,10765,4697.796387,1922.324707,70115,New Orleans,LA,33212,4.37,0.001057395,0.145493846,17386.37203,15370374.25,
89,71040,8600000US71040,259847.4092,US,89,BlockApportionment:US.BlockGroups,2.191,2.576,1,32663,790,772,2782,1854,39824,641,336,870,6160,3793,3037,1599.287598,780.8235474,71040,Homer,LA,9958,291.72,0.072729774,2.481820575,259847.4091,1100180109,
90,70526,8600000US70526,195861.2296,US,90,BlockApportionment:US.BlockGroups,2.191,2.576,1,34880,1785,1171,5436,2802,41951,1087,434,1832,9493,10054,6389,2076.555176,970.0405273,70526,Crowley,LA,19518,140.29,0.034044685,1.299416578,195861.2295,435361572.7,
91,71070,8600000US71070,196782.95,US,91,BlockApportionment:US.BlockGroups,2.191,2.576,1,34792,236,155,410,381,40606,104,45,147,912,881,874,3017.91626,1511.293091,71070,Saline,LA,1351,188.53,0.046654567,1.743797993,196782.9494,760227249.7,
92,70659,8600000US70659,16397.47968,US,92,BlockApportionment:US.BlockGroups,2.191,2.576,1,34786,164,98,233,401,43633,148,49,167,754,774,630,,,,,,,,,,16397.47995,7719222.117,
93,71107,8600000US71107,168387.8244,US,93,BlockApportionment:US.BlockGroups,2.191,2.576,1,36857,2846,1734,11001,5058,45669,2175,1021,3404,16712,17351,11351,2193.688477,1008.291626,71107,Shreveport,LA,33384,145.35,0.036159208,1.231583799,168387.8244,561377297.8,
